"prod_id","name","price","mini-desc","categories","desc","img","img1","img2","img3"
"3106","THÜRINGER HD Holzpellets 6mm ENplusA1, 65 x 15kg Palette","379,00€","Produkt-Highlights Höhere Heizleistung Weniger Verbrauch geringere Emissionen hoher Heizwert ca. 5,3 kWh/kg niedrige Feuchtigkeit (< 7%)","HOLZPELLETS","zertifizierte HD-Pellets, außerdem ENplusA1 und DINplus zertifiziert 65 x 15kg Säcke pro Palette, gesamt 975kg Durchmesser 6mm, einheitliche Länge hoher Heizwert ca. 5,3 kWh/kg niedriger Aschegehalt (ca. 0,3%) niedrige Feuchtigkeit (< 7%) Schüttdichte ca. 700 kg/m3 Ascheschmelztemperatur >1200°C nahezu frei von Abrieb bessere und effektivere Verbrennung dank HD-Technologie niedrige CO2-Emission während der Verbrennung saubere und handliche Lagerung in 15kg Säcken komfortable und bequeme Lieferung auf pfandfreien Einwegpaletten","https://www.holzelektro.com/wp-content/uploads/2022/07/THUeRINGER-HD-Holzpellets-6mm-ENplusA1-65-x-15kg-Palette-1-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/THUeRINGER-HD-Holzpellets-6mm-ENplusA1-65-x-15kg-Palette-2-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/THUeRINGER-HD-Holzpellets-6mm-ENplusA1-65-x-15kg-Palette-3-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/THUeRINGER-HD-Holzpellets-6mm-ENplusA1-65-x-15kg-Palette-4-150x150.jpg"
"3123","DRAGON Holzpellets 6mm ENplusA1, 65 x 15kg Palette","359,00€","Produkt-Highlights 100% aus FSC zertifizierten Holz Feinanteile < 0,5% Heizwert > 17 MJ/kg Dichte > 1,15 kg/dm³","HOLZPELLETS","ENplusA1 zertifizierte PREMIUM Pellets 100% aus FSC zertifizierten Holz hergestellt aus Kiefer- und Fichtenholz Abmessungen Ø 6 mm, 5-40 mm Länge Feinanteile < 0,5% Heizwert > 17 MJ/kg Aschegehalt < 0,7% Restfeuchte < 10% Dichte > 1,15 kg/dm³ saubere und handliche Lagerung in 15kg Säcken komfortable und bequeme Lieferung auf pfandfreien Einwegpaletten mit wetterfester Verpackung ausschließliche Verwendung von produktionseigenen Sägespänen, garantiert frei von Rinde","https://www.holzelektro.com/wp-content/uploads/2022/07/DRAGON-Holzpellets-6mm-ENplusA1-65-x-15kg-Palette-1-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/DRAGON-Holzpellets-6mm-ENplusA1-65-x-15kg-Palette-2-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/DRAGON-Holzpellets-6mm-ENplusA1-65-x-15kg-Palette-2-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/DRAGON-Holzpellets-6mm-ENplusA1-65-x-15kg-Palette-2-150x150.jpg"
"3132","EPH Holzpellets im Papiersack, ENplusA1, 65 x 15kg Palette","379,99€","Produkt-Highlights 0% PLASTIKMÜLL","HOLZPELLETS","Feinanteile < 0.2% Heizwert min. 5.1 kWh/kg Ascheanfall 0.2% Ascheerweichungstemperatur >1350°C saubere und handliche Lagerung in 15kg Säcken komfortable und bequeme Lieferung auf pfandfreien Einwegpaletten mit wetterfester Regenhaube ausschließliche Verwendung von produktionseigenen Sägespänen, garantiert frei von Rinde","https://www.holzelektro.com/wp-content/uploads/2022/07/EPH-Holzpellets-im-Papiersack-ENplusA1-65-x-15kg-Palette-1-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/EPH-Holzpellets-im-Papiersack-ENplusA1-65-x-15kg-Palette-2-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/EPH-Holzpellets-im-Papiersack-ENplusA1-65-x-15kg-Palette-2-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/EPH-Holzpellets-im-Papiersack-ENplusA1-65-x-15kg-Palette-2-150x150.jpg"
"3126","OLIMP Holzpellets 6mm ENplusA1, 65 x 15kg Palette","419,00€","Produkt-Highlights niedriger Aschegehalt (<0,4%) niedrige Feuchtigkeit (ca. 5-7%) nahezu frei von Abrieb vollständig erneuerbar","HOLZPELLETS","die Pellets sind zertifiziert und erfüllen die strengen Anforderungen der Norm ENplusA1 hochkonzentrierte Pelletenergie (Heizwert > 5,2 kWh/kg) niedriger Aschegehalt (<0,4%) niedrige Feuchtigkeit (ca. 5-7%) nahezu frei von Abrieb vollständig erneuerbar niedrige CO₂-Emission während der Verbrennung saubere und handliche Lagerung in 15kg Säcken komfortable und bequeme Lieferung auf pfandfreien Einwegpaletten mit wetterfester Regenhaube ausschließliche Verwendung von produktionseigenen Sägespänen, garantiert frei von Rinde leichte und wirtschaftliche Anwendung (1 Heizsaison = 5 – 8 Tonnen Pellets), günstige Alternative zu Kohle, Öl oder Gas Einsparung: das Heizen mit Pellets ist etwa 36 % billiger als mit Erdgas, ca. 54 % billiger als mit Heizöl, und etwa 65 % billiger als mit Flüssiggas gleichbleibend hochwertige Pellets in Premium Qualität dank ENplus-A1 zertifizierte Produktion","https://www.holzelektro.com/wp-content/uploads/2022/07/OLIMP-Holzpellets-6mm-ENplusA1-65-x-15kg-Palette-1-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/OLIMP-Holzpellets-6mm-ENplusA1-65-x-15kg-Palette-2-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/OLIMP-Holzpellets-6mm-ENplusA1-65-x-15kg-Palette-3-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/OLIMP-Holzpellets-6mm-ENplusA1-65-x-15kg-Palette-4-150x150.jpg"
"3111","FIREFLIES Holzpellets 6mm ENplusA1, 65 x 15kg Palette","389,00€","Produkt-Highlights Heizwert ca. 5,3 kWh/kg Aschegehalt < 0,6% Ascheschmelztemp. >1300°C Restfeuchte <10% Dichte >1,12 kg/dm³","HOLZPELLETS","ENplusA1 zertifizierte PREMIUM Pellets hergestellt aus Kiefer- und Fichtenholz Abmessungen Ø 6 mm, 5-40 mm Länge Heizwert ca. 5,3 kWh/kg Aschegehalt < 0,6% Ascheschmelztemp. >1300°C Restfeuchte <10% Dichte >1,12 kg/dm³ saubere und handliche Lagerung in 15kg Säcken komfortable und bequeme Lieferung auf pfandfreien Einwegpaletten mit wetterfester Regenhaube","https://www.holzelektro.com/wp-content/uploads/2022/07/FIREFLIES-Holzpellets-6mm-ENplusA1-65-x-15kg-Palette-11-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/FIREFLIES-Holzpellets-6mm-ENplusA1-65-x-15kg-Palette-12-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/FIREFLIES-Holzpellets-6mm-ENplusA1-65-x-15kg-Palette-13-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/FIREFLIES-Holzpellets-6mm-ENplusA1-65-x-15kg-Palette-13-150x150.jpg"
"3140","HIT Holzpellets Sackware 6mm ENplusA1, 66 x 15kg Palette","499,00€","Produkt-Highlights Zertifikat : ENplusA1 zertifiziert Holzart : Nadelholz Herkunft : Sachsen","HOLZPELLETS","","https://www.holzelektro.com/wp-content/uploads/2022/07/HIT-Holzpellets-Sackware-6mm-ENplusA1-66-x-15kg-Palette-1-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/HIT-Holzpellets-Sackware-6mm-ENplusA1-66-x-15kg-Palette-2-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/HIT-Holzpellets-Sackware-6mm-ENplusA1-66-x-15kg-Palette-3-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/HIT-Holzpellets-Sackware-6mm-ENplusA1-66-x-15kg-Palette-4-150x150.jpg"
"3103","GERMAN FLAMES Holzpellets 6mm ENplusA1, 990kg Palette","549,00€","Produkt-Highlights hoher Heizwert > 5 kWh/kg niedriger Aschegehalt (<0,5%) niedrige Feuchtigkeit (ca. 7-9%) hohe Rohdichte 1,20kg/dm3 vollständig erneuerbar","HOLZPELLETS","ENplusA1 zertifizierte 6mm Nadelholzpellets Heizwert > 5kWh/kg ohne Rindenanteile minimaler Abrieb im Sack (keine Staubbelastung) Restfeuchte maximal 6,1% (hoher Heizwert) Ascheanfall max. 0,24% (geringer Reinigungsaufwand) niedrige CO2-Emission während der Verbrennung hohe Ascheerweichungstemperatur 1450°C (keine Schlackebildung)","https://www.holzelektro.com/wp-content/uploads/2022/07/GERMAN-FLAMES-Holzpellets-6mm-ENplusA1-990kg-Palette-1-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/GERMAN-FLAMES-Holzpellets-6mm-ENplusA1-990kg-Palette-2-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/GERMAN-FLAMES-Holzpellets-6mm-ENplusA1-990kg-Palette-2-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/GERMAN-FLAMES-Holzpellets-6mm-ENplusA1-990kg-Palette-2-150x150.jpg"
"3100","HOYER Holzpellets 6mm ENplusA1, 66 x 15kg Palette","699,00€","Produkt-Highlights Heizwert > 5 kWh/kg Aschegehalt 0,3 – 0,45% Ascheschmelztemp. >1350°C Restfeuchte 6-8% Feinanteil (Pellets <3mm) <1% Schüttdichte 650kg/m³","HOLZPELLETS","ENplusA1 zertifizierte PREMIUM Pellets Heizwert ca. 5,0 kWh/kg niedriger Aschegehalt (<0,4%) niedrige Feuchtigkeit (ca. 6%) hohe Rohdichte 1,20kg/dm3 Ascheerweichungstemperatur 1350°C nahezu frei von Abrieb <1% vollständig erneuerbar niedrige CO2-Emission während der Verbrennung saubere und handliche Lagerung in 15kg Säcken regionale Produktion garantiert kurze Transportwege und sichert Arbeitsplätze ausschließliche Verwendung von produktionseigenen Sägespänen, garantiert frei von Rinde","https://www.holzelektro.com/wp-content/uploads/2022/07/HOYER-Holzpellets-6mm-ENplusA1-66-x-15kg-Palette-1-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/HOYER-Holzpellets-6mm-ENplusA1-66-x-15kg-Palette-2-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/HOYER-Holzpellets-6mm-ENplusA1-66-x-15kg-Palette-2-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/HOYER-Holzpellets-6mm-ENplusA1-66-x-15kg-Palette-2-150x150.jpg"
"3213","HEIZFUXX Holzpellets Red 6mm ENplusA1, 65 x 15kg Palette","759,00€","Produkt-Highlights FSC®-zertifiziert CO2-neutral Schnell anzündbar Hoher Heizwert Geringer Ascheanteil","HOLZPELLETS","","https://www.holzelektro.com/wp-content/uploads/2022/07/HEIZFUXX-Holzpellets-Red-6mm-ENplusA1-65-x-15kg-Palette-1-1-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/HEIZFUXX-Holzpellets-Red-6mm-ENplusA1-65-x-15kg-Palette-2-1-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/HEIZFUXX-Holzpellets-Red-6mm-ENplusA1-65-x-15kg-Palette-3-1-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/HEIZFUXX-Holzpellets-Red-6mm-ENplusA1-65-x-15kg-Palette-4-1-150x150.jpg"
"3120","Holzpellets Hartholz Buche/Eiche 6mm, 65 x 15kg Palette","749,00€","Produkt-Highlights reines Buchen- oder Eichenholz längere Glutdauer saubere Verbrennung hoher Heizwert > 5,2 kWh/kg","BRENNSTOFFE","reines Buchen- oder Eichenholz längere Glutdauer saubere Verbrennung hoher Heizwert > 5,2 kWh/kg Abmessung Ø 6mm x 7-50mm niedriger Aschegehalt (ca. 0,8%) niedrige Feuchtigkeit (ca. 5-9%) hohe Rohdichte 1,20kg/dm3 geringe mechanische Beschädigung, dadurch sehr wenig Abrieb vollständig erneuerbar niedrige CO2-Emission während der Verbrennung saubere und handliche Lagerung in 15kg Säcken (nicht lebensmitteltauglich, da nicht entsprechend zertifiziert)","https://www.holzelektro.com/wp-content/uploads/2022/07/Holzpellets-Hartholz-Eiche-6mm-65-x-15kg-Palette-1-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Holzpellets-Hartholz-Eiche-6mm-65-x-15kg-Palette-2-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Holzpellets-Hartholz-Eiche-6mm-65-x-15kg-Palette-2-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Holzpellets-Hartholz-Eiche-6mm-65-x-15kg-Palette-2-150x150.jpg"
"4561","Saxoniapellets 6mm ENplusA1, 66 x 15kg Palette","499,00€","Produkt-Highlights ENplusA1 zertifiziert Nadelholz Technisch getrocknet Sofort gebrauchsfertig","BRENNSTOFFE","","https://www.holzelektro.com/wp-content/uploads/2022/10/Saxoniapellets-6mm-ENplusA1-66-x-15kg-Palette-1.jpg","https://www.holzelektro.com/wp-content/uploads/2022/10/Saxoniapellets-6mm-ENplusA1-66-x-15kg-Palette-2.jpg","https://www.holzelektro.com/wp-content/uploads/2022/10/Saxoniapellets-6mm-ENplusA1-66-x-15kg-Palette-3.jpg","https://www.holzelektro.com/wp-content/uploads/2022/10/Saxoniapellets-6mm-ENplusA1-66-x-15kg-Palette-4.jpg"
"3136","PELLINI Holzpellets 6mm ENplusA1, 66 x 15kg Palette","659,00€","Produkt-Highlights Heizwert in KWh/kg : > 4,9 Pelletdurchmesser : Ø 6 mm Pelletlänge : 3,15 – 4,0 cm Restfeuchte : 6 – 8 % Holzart : Entrindete Nadelhölzer","HOLZPELLETS","","https://www.holzelektro.com/wp-content/uploads/2022/07/PELLINI-Holzpellets-6mm-ENplusA1-66-x-15kg-Palette-1-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/PELLINI-Holzpellets-6mm-ENplusA1-66-x-15kg-Palette-2-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/PELLINI-Holzpellets-6mm-ENplusA1-66-x-15kg-Palette-3-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/PELLINI-Holzpellets-6mm-ENplusA1-66-x-15kg-Palette-3-150x150.jpg"
"3163","HEIZFUXX Holzpellets Grey 6mm ENplusA1, 65 x 15kg Palette","699,00€","Produkt-Highlights ENplus A2 zertifiziert CO2-neutral Geringe Restfeuchte Lange Brenndauer","HOLZPELLETS","","https://www.holzelektro.com/wp-content/uploads/2022/07/HEIZFUXX-Holzpellets-Grey-6mm-ENplusA1-65-x-15kg-Palette-1-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/HEIZFUXX-Holzpellets-Grey-6mm-ENplusA1-65-x-15kg-Palette-2-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/HEIZFUXX-Holzpellets-Grey-6mm-ENplusA1-65-x-15kg-Palette-3-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/HEIZFUXX-Holzpellets-Grey-6mm-ENplusA1-65-x-15kg-Palette-4-150x150.jpg"
"3145","TotalEnergies Holzpellets Premium 6mm ENplusA1, 66 x 15kg Palette","699,00€","Produkt-Highlights ENplusA1 zertifiziert (DE-433) CO2-neutral Geringe Restfeuchte Geringer Ascheanteil Lange Brenndauer","HOLZPELLETS","","https://www.holzelektro.com/wp-content/uploads/2022/07/TotalEnergies-Holzpellets-Premium-6mm-ENplusA1-66-x-15kg-Palette-11-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/TotalEnergies-Holzpellets-Premium-6mm-ENplusA1-66-x-15kg-Palette-12-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/TotalEnergies-Holzpellets-Premium-6mm-ENplusA1-66-x-15kg-Palette-13-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/TotalEnergies-Holzpellets-Premium-6mm-ENplusA1-66-x-15kg-Palette-14-150x150.jpg"
"4556","REZULT Premium Holzpellets ENplusA1, 70 x 15kg Palette","699,00€","Produkt-Highlights minimaler Abrieb minimale Asche hohe Heizleistung nahezu frei von Abrieb","BRENNSTOFFE","zertifizierte Pellets in bester ENplusA1 Qualität 70 x 15kg Säcke pro Palette, gesamt 1050kg Durchmesser 6mm Hoher Heizwert > 5,0 kWh/kg Niedriger Aschegehalt (ca. 0,3%) Sehr niedrige Feuchtigkeit < 3% Schüttdichte ca. 700 kg/m3 Ascheschmelztemperatur >1200°C Nahezu frei von Abrieb Niedrige CO2-Emission während der Verbrennung Saubere und handliche Lagerung in 15kg Säcken Komfortable und bequeme Lieferung auf pfandfreien Einwegpaletten, sicher verpackt mit POWER-Stretchfolie und Wetterschutzhaube Nachhaltige Herstellung mit FSC-Zertifikat","https://www.holzelektro.com/wp-content/uploads/2022/10/REZULT-Premium-Holzpellets-ENplusA1-70-x-15kg-Palette-1.jpg","https://www.holzelektro.com/wp-content/uploads/2022/10/REZULT-Premium-Holzpellets-ENplusA1-70-x-15kg-Palette-2.jpg","https://www.holzelektro.com/wp-content/uploads/2022/10/REZULT-Premium-Holzpellets-ENplusA1-70-x-15kg-Palette-3.jpg","https://www.holzelektro.com/wp-content/uploads/2022/10/REZULT-Premium-Holzpellets-ENplusA1-70-x-15kg-Palette-4.jpg"
"4545","HS TIMBER Premium Holzpellets 6mm ENplusA1, 66 x 15kg Palette","699,00€","Produkt-Highlights Feinanteile unter 0,3% Heizwert 17-18,5 MJ/kg Aschegehalt < 0,5% Restfeuchte <10% Dichte >1,15 kg/dm³","BRENNSTOFFE","ENplusA1 zertifizierte PREMIUM Pellets hergestellt aus Kiefer- und Fichtenholz, aus nachhaltiger Forstwirtschaft (FSC zertifiziert) 66 x 15kg Säcke / Einwegpalette Gesamtmenge 990kg netto Holzpellets Abmessungen Ø 6 mm, 20-30 mm Länge Feinanteile unter 0,3% Heizwert  17-18,5 MJ/kg Aschegehalt < 0,5% Restfeuchte <10% Dichte >1,15 kg/dm³ saubere und handliche Lagerung in 15kg Säcken komfortable und bequeme Lieferung auf pfandfreien Einwegpaletten mit wetterfester Regenhaube ausschließliche Verwendung von produktionseigenen Sägespänen, garantiert frei von Rinde Premium Holzpellets hergestellt in Sachse","https://www.holzelektro.com/wp-content/uploads/2022/10/HS-TIMBER-Premium-Holzpellets-6mm-ENplusA1-66-x-15kg-Palette-1.jpg","https://www.holzelektro.com/wp-content/uploads/2022/10/HS-TIMBER-Premium-Holzpellets-6mm-ENplusA1-66-x-15kg-Palette-2.jpg","https://www.holzelektro.com/wp-content/uploads/2022/10/HS-TIMBER-Premium-Holzpellets-6mm-ENplusA1-66-x-15kg-Palette-3.jpg","https://www.holzelektro.com/wp-content/uploads/2022/10/HS-TIMBER-Premium-Holzpellets-6mm-ENplusA1-66-x-15kg-Palette-3.jpg"
"3151","HEIZFUXX Holzpellets Blue 6mm ENplusA1, 65 x 15kg Palette","699,00€","Produkt-Highlights FSC®-zertifiziert CO2-neutral Hoher Heizwert Geringe Restfeuchte Geringer Ascheanteil Lange Brenndauer","BRENNSTOFFE","","https://www.holzelektro.com/wp-content/uploads/2022/07/HEIZFUXX-Holzpellets-Blue-6mm-ENplusA1-65-x-15kg-Palette-1-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/HEIZFUXX-Holzpellets-Blue-6mm-ENplusA1-65-x-15kg-Palette-2-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/HEIZFUXX-Holzpellets-Blue-6mm-ENplusA1-65-x-15kg-Palette-3-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/HEIZFUXX-Holzpellets-Blue-6mm-ENplusA1-65-x-15kg-Palette-4-150x150.jpg"
